value,method,pooling_level,time_unit,resistance_threshold,dpval,sampling_intensity,time_in_days,true_value,delay_in_days,method_name
109,gisp,monthly,month,0.22,10,5,3300,1161.0,2139.0,Culture
87,gisp,monthly,month,0.22,10,10,2640,1161.0,1479.0,Culture
75,gisp,monthly,month,0.22,10,20,2280,1161.0,1119.0,Culture
64,gisp,monthly,month,0.22,10,40,1950,1161.0,789.0,Culture
59,gisp,monthly,month,0.22,10,80,1800,1161.0,639.0,Culture
73,gisp,monthly,month,0.23,10,25,2220,1243.0,977.0,Culture
53,naats,monthly,month,0.23,10,0.05,1620,1243.0,377.0,NAAT remnants
49,naats,monthly,month,0.23,10,0.1,1500,1243.0,257.0,NAAT remnants
47,naats,monthly,month,0.23,10,0.2,1440,1243.0,197.0,NAAT remnants
46,naats,monthly,month,0.23,10,0.4,1410,1243.0,167.0,NAAT remnants
45,naats,monthly,month,0.23,10,0.8,1380,1243.0,137.0,NAAT remnants
109,gisp,monthly,month,0.23,10,5,3300,1243.0,2057.0,Culture
87,gisp,monthly,month,0.23,10,10,2640,1243.0,1397.0,Culture
75,gisp,monthly,month,0.23,10,20,2280,1243.0,1037.0,Culture
70,gisp,monthly,month,0.23,10,40,2130,1243.0,887.0,Culture
61,gisp,monthly,month,0.23,10,80,1860,1243.0,617.0,Culture
73,gisp,monthly,month,0.24,10,25,2220,1323.0,897.0,Culture
55,naats,monthly,month,0.24,10,0.05,1680,1323.0,357.0,NAAT remnants
52,naats,monthly,month,0.24,10,0.1,1590,1323.0,267.0,NAAT remnants
50,naats,monthly,month,0.24,10,0.2,1530,1323.0,207.0,NAAT remnants
48,naats,monthly,month,0.24,10,0.4,1470,1323.0,147.0,NAAT remnants
47,naats,monthly,month,0.24,10,0.8,1440,1323.0,117.0,NAAT remnants
109,gisp,monthly,month,0.24,10,5,3300,1323.0,1977.0,Culture
87,gisp,monthly,month,0.24,10,10,2640,1323.0,1317.0,Culture
75,gisp,monthly,month,0.24,10,20,2280,1323.0,957.0,Culture
70,gisp,monthly,month,0.24,10,40,2130,1323.0,807.0,Culture
64,gisp,monthly,month,0.24,10,80,1950,1323.0,627.0,Culture
79,gisp,monthly,month,0.25,10,25,2400,1400.0,1000.0,Culture
57,naats,monthly,month,0.25,10,0.05,1740,1400.0,340.0,NAAT remnants
55,naats,monthly,month,0.25,10,0.1,1680,1400.0,280.0,NAAT remnants
53,naats,monthly,month,0.25,10,0.2,1620,1400.0,220.0,NAAT remnants
51,naats,monthly,month,0.25,10,0.4,1560,1400.0,160.0,NAAT remnants
50,naats,monthly,month,0.25,10,0.8,1530,1400.0,130.0,NAAT remnants
109,gisp,monthly,month,0.25,10,5,3300,1400.0,1900.0,Culture
87,gisp,monthly,month,0.25,10,10,2640,1400.0,1240.0,Culture
75,gisp,monthly,month,0.25,10,20,2280,1400.0,880.0,Culture
70,gisp,monthly,month,0.25,10,40,2130,1400.0,730.0,Culture
64,gisp,monthly,month,0.25,10,80,1950,1400.0,550.0,Culture
79,gisp,monthly,month,0.26,10,25,2400,1475.0,925.0,Culture
60,naats,monthly,month,0.26,10,0.05,1830,1475.0,355.0,NAAT remnants
57,naats,monthly,month,0.26,10,0.1,1740,1475.0,265.0,NAAT remnants
55,naats,monthly,month,0.26,10,0.2,1680,1475.0,205.0,NAAT remnants
53,naats,monthly,month,0.26,10,0.4,1620,1475.0,145.0,NAAT remnants
52,naats,monthly,month,0.26,10,0.8,1590,1475.0,115.0,NAAT remnants
109,gisp,monthly,month,0.26,10,5,3300,1475.0,1825.0,Culture
87,gisp,monthly,month,0.26,10,10,2640,1475.0,1165.0,Culture
82,gisp,monthly,month,0.26,10,20,2490,1475.0,1015.0,Culture
74,gisp,monthly,month,0.26,10,40,2250,1475.0,775.0,Culture
67,gisp,monthly,month,0.26,10,80,2040,1475.0,565.0,Culture
79,gisp,monthly,month,0.27,10,25,2400,1547.0,853.0,Culture
62,naats,monthly,month,0.27,10,0.05,1890,1547.0,343.0,NAAT remnants
59,naats,monthly,month,0.27,10,0.1,1800,1547.0,253.0,NAAT remnants
57,naats,monthly,month,0.27,10,0.2,1740,1547.0,193.0,NAAT remnants
56,naats,monthly,month,0.27,10,0.4,1710,1547.0,163.0,NAAT remnants
54,naats,monthly,month,0.27,10,0.8,1650,1547.0,103.0,NAAT remnants
109,gisp,monthly,month,0.27,10,5,3300,1547.0,1753.0,Culture
87,gisp,monthly,month,0.27,10,10,2640,1547.0,1093.0,Culture
82,gisp,monthly,month,0.27,10,20,2490,1547.0,943.0,Culture
74,gisp,monthly,month,0.27,10,40,2250,1547.0,703.0,Culture
69,gisp,monthly,month,0.27,10,80,2100,1547.0,553.0,Culture
79,gisp,monthly,month,0.28,10,25,2400,1618.0,782.0,Culture
63,naats,monthly,month,0.28,10,0.05,1920,1618.0,302.0,NAAT remnants
61,naats,monthly,month,0.28,10,0.1,1860,1618.0,242.0,NAAT remnants
59,naats,monthly,month,0.28,10,0.2,1800,1618.0,182.0,NAAT remnants
57,naats,monthly,month,0.28,10,0.4,1740,1618.0,122.0,NAAT remnants
57,naats,monthly,month,0.28,10,0.8,1740,1618.0,122.0,NAAT remnants
109,gisp,monthly,month,0.28,10,5,3300,1618.0,1682.0,Culture
87,gisp,monthly,month,0.28,10,10,2640,1618.0,1022.0,Culture
82,gisp,monthly,month,0.28,10,20,2490,1618.0,872.0,Culture
77,gisp,monthly,month,0.28,10,40,2340,1618.0,722.0,Culture
71,gisp,monthly,month,0.28,10,80,2160,1618.0,542.0,Culture
83,gisp,monthly,month,0.29,10,25,2520,1686.0,834.0,Culture
65,naats,monthly,month,0.29,10,0.05,1980,1686.0,294.0,NAAT remnants
63,naats,monthly,month,0.29,10,0.1,1920,1686.0,234.0,NAAT remnants
61,naats,monthly,month,0.29,10,0.2,1860,1686.0,174.0,NAAT remnants
60,naats,monthly,month,0.29,10,0.4,1830,1686.0,144.0,NAAT remnants
59,naats,monthly,month,0.29,10,0.8,1800,1686.0,114.0,NAAT remnants
109,gisp,monthly,month,0.29,10,5,3300,1686.0,1614.0,Culture
87,gisp,monthly,month,0.29,10,10,2640,1686.0,954.0,Culture
82,gisp,monthly,month,0.29,10,20,2490,1686.0,804.0,Culture
77,gisp,monthly,month,0.29,10,40,2340,1686.0,654.0,Culture
73,gisp,monthly,month,0.29,10,80,2220,1686.0,534.0,Culture
10,gisp,monthly,month,0.11,30,25,330,0.0,330.0,Culture
2,naats,monthly,month,0.11,30,0.05,90,0.0,90.0,NAAT remnants
1,naats,monthly,month,0.11,30,0.1,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.11,30,0.2,60,0.0,60.0,NAAT remnants
0,naats,monthly,month,0.11,30,0.4,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.11,30,0.8,30,0.0,30.0,NAAT remnants
21,gisp,monthly,month,0.11,30,5,660,0.0,660.0,Culture
20,gisp,monthly,month,0.11,30,10,630,0.0,630.0,Culture
12,gisp,monthly,month,0.11,30,20,390,0.0,390.0,Culture
8,gisp,monthly,month,0.11,30,40,270,0.0,270.0,Culture
5,gisp,monthly,month,0.11,30,80,180,0.0,180.0,Culture
13,gisp,monthly,month,0.12,30,25,420,0.0,420.0,Culture
3,naats,monthly,month,0.12,30,0.05,120,0.0,120.0,NAAT remnants
2,naats,monthly,month,0.12,30,0.1,90,0.0,90.0,NAAT remnants
1,naats,monthly,month,0.12,30,0.2,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.12,30,0.4,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.12,30,0.8,60,0.0,60.0,NAAT remnants
21,gisp,monthly,month,0.12,30,5,660,0.0,660.0,Culture
20,gisp,monthly,month,0.12,30,10,630,0.0,630.0,Culture
12,gisp,monthly,month,0.12,30,20,390,0.0,390.0,Culture
8,gisp,monthly,month,0.12,30,40,270,0.0,270.0,Culture
7,gisp,monthly,month,0.12,30,80,240,0.0,240.0,Culture
13,gisp,monthly,month,0.13,30,25,420,0.0,420.0,Culture
4,naats,monthly,month,0.13,30,0.05,150,0.0,150.0,NAAT remnants
3,naats,monthly,month,0.13,30,0.1,120,0.0,120.0,NAAT remnants
3,naats,monthly,month,0.13,30,0.2,120,0.0,120.0,NAAT remnants
2,naats,monthly,month,0.13,30,0.4,90,0.0,90.0,NAAT remnants
2,naats,monthly,month,0.13,30,0.8,90,0.0,90.0,NAAT remnants
21,gisp,monthly,month,0.13,30,5,660,0.0,660.0,Culture
20,gisp,monthly,month,0.13,30,10,630,0.0,630.0,Culture
